red,1,コーラルレッド,coral red,eda098,549
red,2,チェリーピンク,cherry pink,eb6e9f,504
red,3,ぼたんいろ,牡丹色,d95d97,461
red,4,つつじいろ,躑躅色,df548f,450
red,5,ローズレッド,rose red,e05881,441
red,6,マゼンタ,magenta,d7157e,362
red,7,からくれない,韓紅色,df5454,407
red,8,ばらいろ,薔薇色,de5065,403
red,9,ローズ,rose,dc435f,382
red,10,シグナルレッド,signal red,db3c4b,354
red,11,チャイニーズレッド,Chinese red,e4724c,418
red,12,バーミリオン,vermilion,e15f48,392
red,13,レッド,red,df5555,393
red,14,トマトレッド,tomato red,df5550,388
red,15,スカーレット,scarlet,df5445,376
red,16,えんたんいろ,鉛丹色,d86554,401
red,17,ポピーレッド,poppy red,dd4952,376
red,18,きあか,黄赤,e1642b,368
red,19,しゅいろ,朱色,dd4827,332
red,20,きんあか,金赤,db3f2b,325
red,21,べにひ,紅緋,db3d36,334
red,22,ストロベリー,strawberry,c63659,341
red,23,べにあか,紅赤,c73a47,328
red,24,あか,赤,d71d3b,303
red,25,べにいろ,紅色,c41a41,287
red,26,カーマイン,carmine,c41a41,287
red,27,ルビーレッド,ruby red,bc3354,323
red,28,コチニールレッド,cochineal red,b12f4f,303
red,29,テラコッタ,terracotta,a55e4f,338
red,30,べにかばいろ,紅樺色,a24b44,305
red,31,えんじ,臙脂,9f3b42,284
red,32,れんがいろ,煉瓦色,9c4836,282
red,33,あかねいろ,茜色,9d2932,248
red,34,あずきいろ,小豆色,864944,275
red,35,すおう,蘇芳,833638,241
red,36,ひわだいろ,桧皮色,7b4334,242
red,37,ワインレッド,wine red,782b3a,221
red,38,えびちゃ,海老茶,6a3931,212
red,39,ボルドー,bordeaux,461217,111
red,40,バーガンディー,burgundy,3f171d,115
orange,41,はだいろ,肌色,f8d8b7,647
orange,42,ピーチ,peach,f6ceaa,622
orange,43,アプリコット,apricot,f7b97e,558
orange,44,あんずいろ,杏色,f0ac78,532
orange,45,こうじいろ,柑子色,eea057,485
orange,46,マンダリンオレンジ,mandarin orange,e2983b,437
orange,47,みかんいろ,蜜柑色,e8822a,404
orange,48,だいだいいろ,橙色,e67928,391
orange,49,オレンジ,orange,e67928,391
orange,50,おうに,黄丹,e47353,426
orange,51,かきいろ,柿色,e2694a,405
orange,52,キャロットオレンジ,carrot orange,ce653f,370
orange,53,あかだいだい,赤橙,df542b,350
orange,54,かばいろ,樺色,9c4836,282
brown,55,エクルベージュ,ecru beige,f2e0c1,659
brown,56,ベージュ,beige,e3cea4,597
brown,57,こむぎいろ,小麦色,d68f5e,451
brown,58,バフ,buff,b99769,441
brown,59,コルク,cork,ac8560,401
brown,60,にっけいいろ,肉桂色,cc6f58,403
brown,61,きちゃ,黄茶,d07144,389
brown,62,きんちゃ,金茶,d38027,378
brown,63,ローシェンナ,raw sienna,c6723f,375
brown,64,らくだいろ,駱駝色,a7684b,346
brown,65,タン,tan,a86e42,344
brown,66,つちいろ,土色,a36840,331
brown,67,あかちゃ,赤茶,a24d3c,299
brown,68,バーントシェンナ,burnt sienna,984a36,280
brown,69,たいしゃ,代赭,a14b2c,280
brown,70,くちばいろ,朽葉色,796040,281
brown,71,はいちゃ,灰茶,80553e,275
brown,72,ブラウン,brown,77533f,265
brown,73,ココアブラウン,cocoa brown,764e40,260
brown,74,ローアンバー,raw umber,785c2b,255
brown,75,バーントアンバー,burnt umber,654f38,236
brown,76,べにえびちゃ,紅海老茶,81322f,226
brown,77,とびいろ,鳶色,723934,223
brown,78,ちゃいろ,茶色,734229,222
brown,79,こげちゃ,焦茶,5c4138,213
brown,80,すすたけいろ,煤竹色,58443c,216
brown,81,うぐいすちゃ,鶯茶,5b4c25,204
brown,82,セピア,sepia,5a4128,195
brown,83,あかさびいろ,赤錆色,6f2d21,189
brown,84,べんがらいろ,弁柄色,732a1e,187
brown,85,かっしょく,褐色,6f3310,178
brown,86,くりいろ,栗色,5d2917,157
brown,87,さびいろ,錆色,552c23,164
